place,query_id,base_name,modifier,query,exact_query,polarity,purpose,origin,source_category_target,query_dimension_targets,task_run_id,plan_id,place_identity_sha256,planned_iteration_round,iteration_round,iteration_mode,language,retrieval_entry,plan_binding_sha256,audit_snapshot_sha256,target_confidence,gap_target,dimension_confidence_before_round,normalized_query_intent,query_definition_sha256,plan_row_sha256
北京路历史文化街区,Q001-b8e3d1cc70006201,北京路历史文化街区,,北京路历史文化街区,"""北京路历史文化街区""",neutral,对象发现与消歧,place_or_alias,mixed,"[""历史文化感知"",""保护活化感知""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""保护活化感知"",""历史文化感知""],""time_range"":"""",""tokens"":[""北京路历史文化街区""]}",b962109f0133e1787a27b9a99293be18edb63c89275a8d6b5dc94dbebaeb1713,d5954f303461468bb53ae9a341c1150b32d52ace98fa0d714825a793b460d5fe
北京路历史文化街区,Q002-b8e3d1cc70006201,北京路历史文化街区,评价,北京路历史文化街区 评价,"""北京路历史文化街区"" 评价",neutral,普通评价,place_or_alias,mixed,"[""场所氛围体验"",""承载治理体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验"",""承载治理体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""评价""]}",1df417855de620db0a7c76c1008317d167dff6fed2bd476fe136da1b27f179ef,962601d7dd5f2dc075d1117a8b7e3c65864e8acac718b566614782e5363edb65
北京路历史文化街区,Q003-b8e3d1cc70006201,北京路历史文化街区,评论,北京路历史文化街区 评论,"""北京路历史文化街区"" 评论",neutral,普通评论,place_or_alias,mixed,"[""场所氛围体验"",""承载治理体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验"",""承载治理体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""评论""]}",d4b34af28ef649d94abf2e63b707d437fb27a2ef93101938a7f046c1fcc0af9f,8355fcf5d9ddd338d3dc310e86163724d890b072f38c3e8af247270cea6b9ce7
北京路历史文化街区,Q004-b8e3d1cc70006201,北京路历史文化街区,真实体验,北京路历史文化街区 真实体验,"""北京路历史文化街区"" 真实体验",neutral,实际到访体验,place_or_alias,mixed,"[""文化实践体验"",""场所氛围体验"",""承载治理体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验"",""承载治理体验"",""文化实践体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""真实体验""]}",ad2a439c08d55f45d04a629338940b4a7a8951fb5d5bd4c7ca282a52d435a710,a51d870ae7f58fb7e2f589541da2716b5256b6725c09a8f6aa4c49176c4244db
北京路历史文化街区,Q005-b8e3d1cc70006201,北京路历史文化街区,值得去吗,北京路历史文化街区 值得去吗,"""北京路历史文化街区"" 值得去吗",positive,推荐意愿,place_or_alias,mixed,"[""文化实践体验"",""场所氛围体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""positive"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验"",""文化实践体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""值得去吗""]}",10fd9623220b44bc25fc4e9f214bf99b618c46b15541023b9fa7de093befe84e,7736e175277ccb4b3102f988acb36d88fba39e820163291b430200f5a606cd05
北京路历史文化街区,Q006-b8e3d1cc70006201,北京路历史文化街区,推荐,北京路历史文化街区 推荐,"""北京路历史文化街区"" 推荐",positive,正面与推荐,place_or_alias,mixed,"[""文化实践体验"",""场所氛围体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""positive"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""场所氛围体验"",""文化实践体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""推荐""]}",14586db98085d61278a01342dbbe4ea0f1711eee2618dca220662e166aefcc8d,8bb48bf7685ee06c3f5bc8018f3673f7030aeb01634578c57b2ebf7611e3133e
北京路历史文化街区,Q007-b8e3d1cc70006201,北京路历史文化街区,避雷,北京路历史文化街区 避雷,"""北京路历史文化街区"" 避雷",negative,负面检索,place_or_alias,mixed,"[""场所氛围体验"",""保护活化感知"",""承载治理体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""保护活化感知"",""场所氛围体验"",""承载治理体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""避雷""]}",9f47ecad797033c3b49aa36c3034b3606428d94a114b9dd23010db2e275e9edf,a28fdd60cf9d7da7ac3b9d9798c6fc60bc6921f301cd36bec7aaa5d4cc4d521b
北京路历史文化街区,Q008-b8e3d1cc70006201,北京路历史文化街区,缺点,北京路历史文化街区 缺点,"""北京路历史文化街区"" 缺点",negative,负面问题,place_or_alias,mixed,"[""场所氛围体验"",""保护活化感知"",""承载治理体验""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""保护活化感知"",""场所氛围体验"",""承载治理体验""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""缺点""]}",179916219218d8e13accef1f2878360828e81a20caadb8a6d4c3aab6f95422af,b389287430d5ad8a9b319eee408c19f3b0da55c5eb668d0d700f648cac03ca59
北京路历史文化街区,Q009-b8e3d1cc70006201,北京路历史文化街区,历史故事 文化导览,北京路历史文化街区 历史故事 文化导览,"""北京路历史文化街区"" 历史故事 文化导览",neutral,历史文化感知,place_or_alias,mixed,"[""历史文化感知""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""neutral"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""历史文化感知""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""历史故事"",""文化导览""]}",31e80748ab78fca58eeaaaac2932e5c4860ab5e0cfbb9b5d4f5b5cd4694b96ee,07ba872a006d3a94f11b55ed09e71527c178947947b7c586a9e049049b5047a6
北京路历史文化街区,Q010-b8e3d1cc70006201,北京路历史文化街区,有遗产但看不懂,北京路历史文化街区 有遗产但看不懂,"""北京路历史文化街区"" 有遗产但看不懂",negative,历史文化感知负向,place_or_alias,mixed,"[""历史文化感知""]",RUN-a31a13821d1641a1996c8c85ca1a2eb7,PLAN-b8e3d1cc70006201b7270b6d,49a31fc636b892d3400f722c768ad32d39498d20ef08dd1b884069eeb98c07c3,0,0,,zh,,b8e3d1cc70006201b7270b6d627d124f519c940b374bde1270dad4c3bb0fafff,,,,,"{""category"":""mixed"",""iteration_mode"":"""",""language"":""zh"",""place"":""北京路历史文化街区"",""platform"":"""",""polarity"":""negative"",""retrieval_entry"":"""",""subject"":"""",""targets"":[""历史文化感知""],""time_range"":"""",""tokens"":[""北京路历史文化街区"",""有遗产但看不懂""]}",adb1e9152ce46d4a30e9b3181b3c743539b370386ba89847762106bfc1939d04,fb155af09fcdb54f09fa44a0e29e40db385d458cff70921f2c9e0cff98354661
